index,plate,state,license_type,tow_eligible_date,total_fines,amount_paid,amount_due,violations,fines_in_judgement,total_fines_post_tow_eligible,amount_paid_post_tow_eligible,amount_due_post_tow_eligible,violations_post_tow_eligible,n_plates
5903108,KZA8882,NY,PAS,2024-10-03,603.86,65.0,538.86,8,538.86,75.69,0.0,75.69,1.0,146
7123431,S92LWD,NJ,PAS,2024-07-25,1176.7,153.99,1022.71,15,1022.71,382.35,0.0,382.35,5.0,142
7034113,R75STC,NJ,PAS,2024-05-03,735.29,0.0,735.29,9,735.29,0.0,0.0,0.0,0.0,122
6256790,LEJ6598,NY,PAS,2024-12-09,475.46,0.0,475.46,6,475.46,0.0,0.0,0.0,0.0,80
5474029,KRU6307,NY,PAS,2024-12-25,794.36,397.58,396.78,10,396.78,0.0,0.0,0.0,0.0,115
5097574,KJG6699,NY,PAS,2024-09-05,448.52,0.0,448.52,5,448.52,0.0,0.0,0.0,0.0,115
3859135,IMBLESSD,NY,SRF,2024-02-07,597.0,75.0,522.0,7,522.0,154.76,0.0,154.76,2.0,107
5910997,KZD1738,NY,PAS,2024-01-04,985.46,75.0,910.46,12,910.46,319.14,0.0,319.14,4.0,125
7523416,VAD5777,NC,PAS,2024-10-06,556.48,0.0,556.48,7,556.48,0.0,0.0,0.0,0.0,113
6142513,LCE9986,NY,PAS,2024-09-11,642.85,0.0,642.85,8,642.85,0.0,0.0,0.0,0.0,118
5197023,KKZ4948,NY,PAS,2024-06-21,1101.92,452.2,649.72,15,649.72,155.01999999999998,0.0,155.01999999999998,2.0,139
7367942,TJS1444,VA,PAS,2024-12-17,392.23,0.0,392.23,5,392.23,0.0,0.0,0.0,0.0,95
6911967,P20NUV,NJ,PAS,2024-04-03,580.14,0.0,580.14,7,580.14,156.57999999999998,0.0,156.57999999999998,2.0,70
7052368,RDE3018,NC,PAS,2024-01-21,1837.14,881.14,956.0,28,956.0,325.38,0.0,325.38,4.0,85
6307211,LFR9772,NY,PAS,2024-08-21,1840.55,745.58,1094.97,25,1094.97,477.38,15.47,461.91,7.0,123
619606,865BP5,NY,MOT,2024-09-08,629.31,0.0,629.31,8,629.31,76.73,0.0,76.73,1.0,104
6233566,LDX7350,NY,PAS,2024-08-14,878.87,0.0,878.87,11,878.87,155.54000000000002,0.0,155.54000000000002,2.0,104
6279154,LEX6751,NY,PAS,2024-02-09,975.05,186.21,788.84,12,788.84,236.69,0.0,236.69,3.0,147
3247465,HJP5318,NY,PAS,2024-11-30,1030.56,615.58,414.98,14,414.98,0.0,0.0,0.0,0.0,110
4937448,KFP276,VT,PAS,2024-05-14,1486.33,1120.09,366.24,22,366.24,0.0,0.0,0.0,0.0,75
6198803,LDF6731,NY,PAS,2024-12-23,869.65,436.2,433.45,12,433.45,0.0,0.0,0.0,0.0,88
6192734,LDD6194,NY,PAS,2024-09-09,2274.18,1521.16,753.02,33,753.02,0.0,0.0,0.0,0.0,101
1455879,D39RVT,NJ,PAS,2024-04-11,980.69,0.0,980.69,12,980.69,0.0,0.0,0.0,0.0,113
5965801,KZW1341,NY,PAS,2024-02-08,1303.0,0.0,1303.0,16,1303.0,720.0799999999999,0.0,720.0799999999999,9.0,135
6452717,LKA4254,NY,PAS,2024-12-07,388.59,0.0,388.59,5,388.59,0.0,0.0,0.0,0.0,98
6452828,LKA4609,NY,PAS,2024-12-10,1495.16,368.01,1127.15,20,1127.15,427.37,0.0,427.37,6.0,110
7241102,T680429C,NY,OMT,2024-03-26,1157.43,350.78,806.65,16,806.65,356.97,0.0,356.97,5.0,86
5915475,KZE7979,NY,PAS,2024-06-06,728.01,0.0,728.01,9,728.01,0.0,0.0,0.0,0.0,95
1150703,BK41542,CT,PAS,2024-04-16,496.26,0.0,496.26,6,496.26,78.68,0.0,78.68,1.0,70
7409689,U26NME,NJ,PAS,2024-06-08,403.54,0.0,403.54,5,403.54,0.0,0.0,0.0,0.0,122
5379888,KNY5395,NY,PAS,2024-07-15,2173.02,1502.17,670.85,27,670.85,308.61,0.0,308.61,4.0,88
7596255,WHZ752,SC,PAS,2024-09-20,2025.93,302.25,1723.68,26,1723.68,0.0,0.0,0.0,0.0,173
